"ensembl_gene_id"	"external_gene_name"
"380"	"ENSG00000080618"	"CPB2"
"381"	"ENSG00000080644"	"CHRNA3"
"382"	"ENSG00000080802"	"CNOT4"
"383"	"ENSG00000080819"	"CPOX"
"384"	"ENSG00000080845"	"DLGAP4"
"385"	"ENSG00000080910"	"CFHR2"
"386"	"ENSG00000081014"	"AP4E1"
"387"	"ENSG00000081041"	"CXCL2"
"388"	"ENSG00000081051"	"AFP"
"389"	"ENSG00000081052"	"COL4A4"
"390"	"ENSG00000081138"	"CDH7"
"391"	"ENSG00000081181"	"ARG2"
"392"	"ENSG00000081248"	"CACNA1S"
"393"	"ENSG00000081377"	"CDC14B"
"394"	"ENSG00000081721"	"DUSP12"
"395"	"ENSG00000081760"	"AACS"
"396"	"ENSG00000081791"	"DELE1"
"397"	"ENSG00000081803"	"CADPS2"
"398"	"ENSG00000081923"	"ATP8B1"
"399"	"ENSG00000082153"	"BZW1"
"400"	"ENSG00000082196"	"C1QTNF3"
"401"	"ENSG00000082258"	"CCNT2"
"402"	"ENSG00000082293"	"COL19A1"
"403"	"ENSG00000082458"	"DLG3"
"404"	"ENSG00000083097"	"DOP1A"
"405"	"ENSG00000083123"	"BCKDHB"
"406"	"ENSG00000083520"	"DIS3"
"407"	"ENSG00000083799"	"CYLD"
"408"	"ENSG00000083937"	"CHMP2B"
"409"	"ENSG00000084234"	"APLP2"
"410"	"ENSG00000084623"	"EIF3I"
"411"	"ENSG00000084636"	"COL16A1"
"412"	"ENSG00000084674"	"APOB"
"413"	"ENSG00000084693"	"AGBL5"
"414"	"ENSG00000084710"	"EFR3B"
"415"	"ENSG00000084774"	"CAD"
"416"	"ENSG00000085063"	"CD59"
"417"	"ENSG00000085185"	"BCORL1"
"418"	"ENSG00000085224"	"ATRX"
"419"	"ENSG00000085231"	"AK6"
"420"	"ENSG00000085563"	"ABCB1"
"421"	"ENSG00000085662"	"AKR1B1"
"422"	"ENSG00000085719"	"CPNE3"
"423"	"ENSG00000085733"	"CTTN"
"424"	"ENSG00000085788"	"DDHD2"
"425"	"ENSG00000085872"	"CHERP"
"426"	"ENSG00000085978"	"ATG16L1"
"427"	"ENSG00000086061"	"DNAJA1"
"428"	"ENSG00000086062"	"B4GALT1"
"429"	"ENSG00000086065"	"CHMP5"
"430"	"ENSG00000086159"	"AQP6"
"431"	"ENSG00000086189"	"DIMT1"
"432"	"ENSG00000086232"	"EIF2AK1"
"433"	"ENSG00000086548"	"CEACAM6"
"434"	"ENSG00000086848"	"ALG9"
"435"	"ENSG00000087008"	"ACOX3"
"436"	"ENSG00000087085"	"ACHE"
"437"	"ENSG00000087088"	"BAX"
"438"	"ENSG00000087116"	"ADAMTS2"
"439"	"ENSG00000087152"	"ATXN7L3"
"440"	"ENSG00000087237"	"CETP"
"441"	"ENSG00000087274"	"ADD1"
"442"	"ENSG00000087470"	"DNM1L"
"443"	"ENSG00000087586"	"AURKA"
"444"	"ENSG00000087589"	"CASS4"
"445"	"ENSG00000087884"	"AAMDC"
"446"	"ENSG00000088035"	"ALG6"
"447"	"ENSG00000088038"	"CNOT3"
"448"	"ENSG00000088205"	"DDX18"
"449"	"ENSG00000088280"	"ASAP3"
"450"	"ENSG00000088298"	"EDEM2"
"451"	"ENSG00000088305"	"DNMT3B"
"452"	"ENSG00000088387"	"DOCK9"
"453"	"ENSG00000088538"	"DOCK3"
"454"	"ENSG00000088682"	"COQ9"
"455"	"ENSG00000088756"	"ARHGAP28"
"456"	"ENSG00000088766"	"CRLS1"
"457"	"ENSG00000088782"	"DEFB127"
"458"	"ENSG00000088812"	"ATRN"
"459"	"ENSG00000088854"	"DNAAF9"
"460"	"ENSG00000088881"	"EBF4"
"461"	"ENSG00000088882"	"CPXM1"
"462"	"ENSG00000088986"	"DYNLL1"
"463"	"ENSG00000089053"	"ANAPC5"
"464"	"ENSG00000089091"	"DZANK1"
"465"	"ENSG00000089101"	"CFAP61"
"466"	"ENSG00000089199"	"CHGB"
"467"	"ENSG00000089234"	"BRAP"
"468"	"ENSG00000089486"	"CDIP1"
"469"	"ENSG00000089505"	"CMTM1"
"470"	"ENSG00000089685"	"BIRC5"
"471"	"ENSG00000089737"	"DDX24"
"472"	"ENSG00000089820"	"ARHGAP4"
"473"	"ENSG00000090013"	"BLVRB"
"474"	"ENSG00000090061"	"CCNK"
"475"	"ENSG00000090520"	"DNAJB11"
"476"	"ENSG00000090539"	"CHRD"
"477"	"ENSG00000090659"	"CD209"
"478"	"ENSG00000090661"	"CERS4"
"479"	"ENSG00000090776"	"EFNB1"
"480"	"ENSG00000090861"	"AARS1"
"481"	"ENSG00000090932"	"DLL3"
"482"	"ENSG00000091073"	"DTX2"
"483"	"ENSG00000091140"	"DLD"
"484"	"ENSG00000091262"	"ABCC6"
"485"	"ENSG00000091317"	"CMTM6"
"486"	"ENSG00000091527"	"CDV3"
"487"	"ENSG00000091542"	"ALKBH5"
"488"	"ENSG00000091583"	"APOH"
